agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
1,68,200,0,41,0,5.400000000000037,54.00000000000036,9702.0,0,1.0,14,41
2,68,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,6,1
3,68,15,1,1,0,0.0,5.000000000000002,98.0,0,-1.0,11,2
0,69,9,0,0,1,0.0,0.0,42.0,3,-1.2,4,0
1,69,200,0,42,0,6.000000000000001,60.00000000000001,6828.0,1,2.0,11,42
2,69,15,0,1,0,0.0,0.0,81.0,0,-1.0,6,1
3,69,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,3,1
0,70,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
1,70,200,0,41,0,5.400000000000014,54.000000000000135,6624.0,0,1.0,10,41
2,70,9,0,0,0,0.0,0.0,36.0,0,-1.0,4,0
3,70,9,1,0,0,0.0,5.000000000000001,71.0,4,-1.2,7,1
0,71,15,0,1,0,0.0,0.0,57.0,2,-1.2,7,1
1,71,200,1,42,0,6.000000000000021,66.0000000000002,7530.0,0,1.0,13,43
2,71,15,1,1,0,0.0,5.000000000000002,110.0,0,-1.0,9,2
3,71,9,2,0,0,0.0,11.0,71.0,0,0.0,5,2
0,72,27,1,3,1,0.0,5.000000000000002,188.0,0,-1.0,10,4
1,72,200,1,41,0,5.400000000000017,60.00000000000016,7392.0,0,1.0,10,42
2,72,9,0,0,0,0.0,0.0,36.0,2,-1.2,4,0
3,72,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,4,1
0,73,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
1,73,200,1,41,0,5.400000000000004,60.00000000000004,5616.0,0,1.0,19,42
2,73,21,0,2,0,0.0,0.0,114.0,1,-1.2,12,2
3,73,21,1,2,0,0.0,5.000000000000001,161.0,0,-1.0,14,3
0,74,200,1,41,0,5.400000000000031,60.0000000000003,9312.0,0,1.0,21,42
1,74,200,0,40,1,4.80000000000001,48.00000000000009,6246.0,0,1.0,20,40
2,74,33,0,4,0,0.0,0.0,246.0,0,-1.0,10,4
3,74,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
0,75,75,0,11,0,0.0,0.0,579.0,3,-1.2,20,11
1,75,200,2,41,0,5.400000000000017,66.00000000000017,8268.0,0,2.0,17,43
2,75,21,0,2,0,0.0,0.0,102.0,2,-1.2,10,2
3,75,9,0,0,0,0.0,0.0,36.0,0,-1.0,3,0
0,76,9,1,0,1,0.0,5.000000000000001,59.0,2,-1.2,5,1
1,76,200,2,43,0,6.6000000000000245,78.00000000000024,8370.0,0,2.0,16,45
2,76,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
3,76,27,1,3,0,0.0,5.000000000000002,248.0,0,-1.0,9,4
