,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
648,163.0,0.0,0.9469026548672567,33.573008849557525,1.092920353982301,4.644026548672569,52.12168141592923,4701.117256637168,0.48185840707964606,25.061946902654867,452
649,163.0,1.0,0.17391304347826086,29.36521739130435,0.12391304347826088,2.1191304347826025,22.23478260869559,3027.4695652173914,0.331304347826087,18.05217391304348,460
650,163.0,2.0,1.0498220640569396,29.90035587188612,0.2669039145907473,2.440391459074726,30.702846975088896,3084.008896797153,0.4274021352313167,21.441281138790035,562
651,163.0,3.0,0.8666666666666667,27.466666666666665,3.1333333333333333,0.9799999999999974,14.999999999999973,2308.8,0.42,30.466666666666665,15
652,164.0,0.0,0.9137168141592921,33.796460176991154,1.0973451327433628,4.6780973451327466,52.26327433628322,4753.380530973452,0.41460176991150444,25.09070796460177,452
653,164.0,1.0,0.1608695652173913,29.543478260869566,0.12391304347826088,2.1260869565217333,22.22608695652168,3049.682608695652,0.3160869565217391,18.065217391304348,460
654,164.0,2.0,1.00711743772242,30.110320284697508,0.2669039145907473,2.4663701067615587,30.706405693950106,3114.715302491103,0.3758007117437722,21.45729537366548,562
655,164.0,3.0,0.8,27.6,3.1333333333333333,0.9599999999999977,14.399999999999977,2323.2,0.12000000000000001,30.533333333333335,15
656,165.0,0.0,0.922566371681416,33.980088495575224,1.0995575221238938,4.688495575221243,52.42035398230092,4805.800884955752,0.3719026548672566,25.126106194690266,452
657,165.0,1.0,0.16150442477876106,29.76991150442478,0.1261061946902655,2.162168141592914,22.59070796460171,3094.179203539823,0.3194690265486726,18.11061946902655,452
658,165.0,2.0,1.00355871886121,30.281138790035588,0.2669039145907473,2.468861209964406,30.709964412811317,3145.4252669039147,0.3373665480427046,21.487544483985765,562
659,165.0,3.0,1.0714285714285714,27.714285714285715,2.5714285714285716,0.9571428571428545,15.71428571428569,2291.8571428571427,-0.1142857142857143,29.285714285714285,14
660,166.0,0.0,0.9711751662971175,34.18403547671841,1.106430155210643,4.710643015521068,52.93348115299338,4857.935698447894,0.4217294900221729,25.181818181818183,451
661,166.0,1.0,0.164079822616408,29.944567627494457,0.12638580931263857,2.166740576496668,22.65188470066513,3121.643015521064,0.3259423503325942,18.11751662971175,451
662,166.0,2.0,1.0676156583629892,30.430604982206404,0.2669039145907473,2.458540925266897,30.991103202846904,3176.4163701067614,0.3626334519572954,21.51779359430605,562
663,166.0,3.0,0.9,28.5,3.6,1.2999999999999963,18.39999999999996,2568.0,0.06,30.0,10
664,167.0,0.0,0.9223946784922394,34.41019955654102,1.1086474501108647,4.746341463414638,52.99778270509981,4910.920177383592,0.39711751662971173,25.226164079822617,451
665,167.0,1.0,0.19290465631929046,30.110864745011085,0.12638580931263857,2.1665188470066457,22.822616407982196,3144.4656319290466,0.35698447893569846,18.1529933481153,451
666,167.0,2.0,1.097864768683274,30.59964412811388,0.26868327402135234,2.459964412811381,31.18683274021345,3207.603202846975,0.3706405693950178,21.54982206405694,562
667,167.0,3.0,1.3,28.5,3.6,1.1999999999999962,19.79999999999996,2587.8,0.36,30.0,10
668,168.0,0.0,0.9933481152993349,34.59645232815964,1.1108647450110865,4.7580931263858135,53.541019955654136,4964.447893569844,0.43614190687361415,25.266075388026607,451
669,168.0,1.0,0.17516629711751663,30.301552106430155,0.1286031042128603,2.1809312638580867,22.860310421285966,3167.3259423503328,0.3665188470066519,18.186252771618626,451
670,168.0,2.0,1.0622775800711743,30.802491103202847,0.26868327402135234,2.4816725978647614,31.19039145907466,3238.7935943060497,0.36583629893238434,21.581850533807827,562
671,168.0,3.0,0.9,29.0,3.7,1.3999999999999961,19.39999999999996,2606.6,0.53,30.0,10
672,169.0,0.0,0.9778270509977827,34.84478935698448,1.1130820399113082,4.807095343680714,53.937915742793834,5018.385809312638,0.4778270509977827,25.30820399113082,451
673,169.0,1.0,0.15077605321507762,30.478935698447895,0.1286031042128603,2.18736141906873,22.778270509977762,3190.090909090909,0.3250554323725055,18.21951219512195,451
674,169.0,2.0,0.9928825622775801,31.02846975088968,0.26868327402135234,2.517259786476861,31.129893238434093,3269.923487544484,0.3779359430604982,21.59608540925267,562
675,169.0,3.0,0.7,29.1,3.8,1.359999999999996,17.79999999999996,2624.4,0.13,30.0,10
676,170.0,0.0,0.9334811529933481,35.07982261640798,1.1130820399113082,4.8481152993348156,54.08203991130824,5072.467849223946,0.4195121951219512,25.361419068736144,451
677,170.0,1.0,0.15521064301552107,30.62971175166297,0.1286031042128603,2.1778270509977764,22.709534368070887,3212.80044345898,0.293569844789357,18.24168514412417,451
678,170.0,2.0,1.0177935943060499,31.197508896797153,0.26868327402135234,2.518683274021345,31.29359430604975,3301.2170818505338,0.3601423487544484,21.61743772241993,562
679,170.0,3.0,0.6,29.2,3.8,1.319999999999996,16.79999999999996,2641.2,0.08,30.1,10
680,171.0,0.0,0.9578713968957872,35.26607538802661,1.1152993348115299,4.859866962305991,54.34589800443463,5126.8137472283815,0.39490022172949,25.376940133037692,451
