episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
274,41.0,5166.0,1399.0,5596.0,1,37,11.25,45
275,53.0,3408.0,1551.5,6206.0,1,36,19.0,76
276,53.0,3120.0,903.5,3614.0,1,34,10.5,42
277,53.0,4110.0,1129.25,4517.0,1,37,10.5,42
278,59.0,7782.0,3333.5,13334.0,1,43,24.0,96
279,92.0,5718.0,3345.5,13382.0,2,39,28.5,114
280,174.0,7116.0,1971.0,7884.0,2,43,13.75,55
281,47.0,6270.0,1924.75,7699.0,1,43,15.0,60
282,95.0,6534.0,2932.25,11729.0,2,43,23.75,95
283,408.0,4932.0,2189.0,8756.0,8,38,23.5,94
284,425.0,6366.0,3293.75,13175.0,8,38,30.25,121
285,53.0,2586.0,734.0,2936.0,1,33,9.75,39
286,105.0,11790.0,4361.25,17445.0,3,48,25.0,100
287,36.0,7134.0,2984.25,11937.0,0,44,22.5,90
288,135.0,3126.0,1520.0,6080.0,3,37,19.0,76
289,242.0,7476.0,3391.25,13565.0,4,44,25.0,100
290,68.0,9570.0,3837.25,15349.0,2,46,26.0,104
291,59.0,5514.0,3406.25,13625.0,1,39,28.25,113
292,36.0,2922.0,949.5,3798.0,0,34,12.0,48
293,47.0,2832.0,913.25,3653.0,1,34,12.25,49
294,87.0,5070.0,1402.5,5610.0,1,39,11.75,47
295,108.0,3642.0,1391.0,5564.0,2,34,16.25,65
296,75.0,7050.0,1845.75,7383.0,1,44,12.25,49
297,36.0,4554.0,1239.5,4958.0,0,37,10.75,43
298,36.0,5874.0,1534.5,6138.0,0,42,11.5,46
299,86.0,5376.0,2380.25,9521.0,2,38,21.5,86
300,98.0,3276.0,1490.0,5960.0,2,35,18.5,74
301,179.0,8028.0,3843.5,15374.0,3,44,27.0,108
302,53.0,6402.0,3197.75,12791.0,1,41,27.25,109
303,75.0,4698.0,2051.25,8205.0,1,39,21.25,85
304,57.0,7938.0,2654.25,10617.0,1,43,20.5,82
305,86.0,10848.0,4115.0,16460.0,2,47,23.0,92
306,116.0,3762.0,2336.0,9344.0,3,37,27.5,110
307,69.0,10476.0,3999.75,15999.0,1,47,22.5,90
308,125.0,7662.0,2101.75,8407.0,3,43,14.5,58
309,63.0,7032.0,2375.0,9500.0,1,43,19.5,78
310,41.0,2334.0,712.75,2851.0,1,33,10.75,43
311,75.0,1260.0,615.75,2463.0,1,21,10.0,40
312,179.0,1797.0,649.75,2599.0,4,27,11.25,45
313,71.0,6306.0,3731.75,14927.0,2,40,29.0,116
314,65.0,6594.0,2987.0,11948.0,1,42,22.5,90
315,59.0,9018.0,3690.5,14762.0,1,47,25.0,100
316,36.0,7170.0,3676.5,14706.0,0,42,27.0,108
317,99.0,4638.0,3039.75,12159.0,1,40,28.25,113
318,36.0,4842.0,2959.5,11838.0,0,38,27.0,108
319,74.0,4530.0,2796.5,11186.0,2,41,28.25,113
320,69.0,3576.0,993.5,3974.0,1,38,11.0,44
321,92.0,5352.0,3312.5,13250.0,2,40,28.5,114
322,75.0,3336.0,1717.25,6869.0,1,38,17.25,69
323,153.0,5706.0,1785.0,7140.0,3,36,14.25,57
324,98.0,6918.0,1900.75,7603.0,2,40,13.25,53
325,59.0,2298.0,703.25,2813.0,1,30,9.25,37
326,74.0,4746.0,1282.25,5129.0,2,38,11.25,45
327,138.0,11100.0,2907.5,11630.0,2,47,14.25,57
328,41.0,7458.0,2052.25,8209.0,1,42,14.25,57
329,36.0,4626.0,1314.5,5258.0,0,39,11.75,47
330,519.0,7506.0,3311.25,13245.0,6,45,26.0,104
331,53.0,2844.0,799.25,3197.0,1,30,8.75,35
332,36.0,3774.0,1549.5,6198.0,0,38,17.75,71
333,144.0,3246.0,957.75,3831.0,2,35,11.5,46
334,92.0,6822.0,3387.5,13550.0,2,43,26.25,105
335,47.0,2358.0,739.25,2957.0,1,31,10.0,40
336,119.0,7944.0,3162.5,12650.0,3,41,23.25,93
337,336.0,6726.0,3387.0,13548.0,8,43,30.5,122
338,53.0,7500.0,2897.0,11588.0,1,43,22.5,90
339,59.0,4590.0,1954.25,7817.0,1,39,16.0,64
340,36.0,918.0,362.75,1451.0,0,22,8.25,33
341,63.0,7764.0,2846.0,11384.0,1,42,20.25,81
342,140.0,4314.0,2558.0,10232.0,3,37,27.75,111
343,110.0,3414.0,1373.75,5495.0,2,34,18.25,73
344,116.0,3282.0,1048.25,4193.0,2,36,12.25,49
345,203.0,4608.0,2866.25,11465.0,3,39,28.5,114
346,36.0,6756.0,3309.0,13236.0,0,41,28.25,113
