episode,min_total_days,max_total_days,average_total_days
708,78.0,167.0,112.75
709,87.0,5058.0,2709.75
710,71.0,5328.0,2303.0
711,122.0,6558.0,3146.75
712,90.0,5940.0,3131.25
713,171.0,6462.0,2861.25
714,68.0,6804.0,3134.0
715,147.0,6168.0,3276.75
716,84.0,3954.0,1235.75
717,219.0,3726.0,2283.75
718,225.0,4482.0,1729.5
719,42.0,8514.0,3616.5
720,131.0,1746.0,888.5
721,198.0,4470.0,2054.75
722,164.0,5862.0,2927.0
723,104.0,2091.0,722.75
724,141.0,4854.0,2479.25
725,57.0,7212.0,2627.75
726,81.0,8940.0,4853.25
727,65.0,4206.0,1440.5
728,180.0,7362.0,3817.5
729,330.0,4062.0,2104.5
730,81.0,6702.0,2227.25
731,42.0,7176.0,3846.0
732,63.0,3315.0,942.5
733,36.0,5898.0,2478.75
734,234.0,6096.0,3345.0
735,77.0,5520.0,1697.0
736,63.0,7194.0,2105.0
737,36.0,7656.0,3237.0
738,36.0,252.0,109.5
739,71.0,2856.0,771.25
740,92.0,6570.0,2965.0
741,57.0,8232.0,3301.5
742,233.0,3234.0,1604.0
743,135.0,7362.0,3510.5
744,36.0,6150.0,2438.0
745,59.0,4560.0,1247.0
746,81.0,447.0,210.25
747,192.0,6882.0,3463.5
748,114.0,9954.0,3099.75
749,179.0,11058.0,3568.25
750,158.0,6594.0,3081.5
751,42.0,6540.0,3708.0
752,102.0,6942.0,3180.75
753,96.0,5742.0,2617.25
754,71.0,5220.0,1424.75
755,131.0,5412.0,1543.25
756,65.0,6486.0,1689.25
757,71.0,1782.0,520.75
758,41.0,7284.0,3532.25
759,114.0,7890.0,3399.75
760,80.0,11154.0,3971.0
761,74.0,8412.0,3667.25
762,69.0,6792.0,4410.75
763,102.0,5010.0,2680.5
764,77.0,5154.0,1372.25
765,47.0,8148.0,2379.25
766,80.0,8250.0,3473.75
767,36.0,8208.0,3478.25
768,53.0,4512.0,1248.25
769,77.0,114.0,99.25
770,96.0,6984.0,3452.25
771,93.0,7590.0,3071.75
772,69.0,7056.0,3275.25
773,222.0,6828.0,1909.5
774,36.0,8442.0,4240.5
775,65.0,7698.0,2109.5
776,194.0,318.0,272.5
777,299.0,9252.0,3892.25
778,41.0,7854.0,2482.0
779,77.0,6132.0,1591.75
780,68.0,1350.0,463.75
781,135.0,6708.0,3791.25
782,36.0,5820.0,2534.75
783,186.0,7926.0,3029.25
784,36.0,9438.0,3369.0
785,245.0,7026.0,3316.25
786,53.0,5358.0,2312.0
787,69.0,6222.0,3185.25
788,63.0,3876.0,1216.5
789,75.0,4980.0,2913.75
790,173.0,4794.0,2357.75
791,113.0,5538.0,2017.25
792,42.0,5520.0,2553.75
793,125.0,4080.0,1909.25
794,117.0,4884.0,2414.25
795,80.0,272.0,170.75
796,36.0,7020.0,1826.0
797,42.0,4884.0,2369.25
798,36.0,8580.0,3074.75
799,87.0,6888.0,3472.5
800,114.0,6756.0,4411.5
801,254.0,2709.0,1504.25
802,270.0,5184.0,1696.5
803,141.0,7380.0,3431.75
804,141.0,7056.0,3153.0
805,71.0,876.0,295.5
806,107.0,7026.0,1858.5
807,69.0,1257.0,407.0
808,47.0,3876.0,1072.0
