episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
306,36.0,6726.0,2932.5,11730.0,0,44,21.75,87,9,200,113.5,454
307,309.0,10518.0,3861.75,15447.0,5,48,27.75,111,38,200,138.75,555
308,156.0,6918.0,1883.75,7535.0,2,38,12.75,51,21,200,74.75,299
309,125.0,5244.0,1864.0,7456.0,3,40,18.5,74,21,200,104.5,418
310,138.0,7110.0,3011.0,12044.0,2,43,21.0,84,21,200,112.0,448
311,41.0,7422.0,3188.75,12755.0,1,43,22.75,91,9,200,119.5,478
312,80.0,8682.0,4003.25,16013.0,1,45,23.0,92,15,200,107.5,430
313,69.0,6318.0,1744.25,6977.0,1,43,14.0,56,15,200,74.75,299
314,159.0,9588.0,2609.0,10436.0,3,46,15.75,63,27,200,79.0,316
315,75.0,8274.0,2156.0,8624.0,1,45,13.5,54,15,200,67.25,269
316,180.0,5862.0,2478.75,9915.0,4,40,21.0,84,33,200,118.0,472
317,114.0,10026.0,2667.75,10671.0,2,47,15.0,60,21,200,76.25,305
318,143.0,10410.0,3107.0,12428.0,3,49,20.25,81,21,200,100.0,400
319,93.0,8610.0,3444.0,13776.0,1,46,24.5,98,15,200,125.5,502
320,36.0,10422.0,3642.0,14568.0,0,47,26.0,104,9,200,134.5,538
321,453.0,6090.0,3268.5,13074.0,8,41,25.5,102,50,200,137.25,549
322,315.0,7758.0,2574.75,10299.0,7,38,20.75,83,51,200,120.75,483
323,36.0,11610.0,2933.5,11734.0,0,48,12.5,50,9,200,56.75,227
324,36.0,7998.0,3365.25,13461.0,0,42,22.25,89,9,200,115.0,460
325,120.0,7476.0,2100.0,8400.0,2,42,16.0,64,21,200,89.75,359
326,198.0,8034.0,2194.25,8777.0,4,44,15.25,61,33,200,80.75,323
327,41.0,10158.0,3889.25,15557.0,1,45,21.75,87,9,200,110.5,442
328,75.0,9954.0,3517.5,14070.0,1,43,20.25,81,15,200,107.5,430
329,63.0,9426.0,3346.5,13386.0,1,46,21.5,86,15,200,110.5,442
330,203.0,8478.0,3041.0,12164.0,5,45,24.25,97,33,200,127.0,508
331,69.0,8406.0,3870.0,15480.0,1,46,27.0,108,15,200,140.25,561
332,42.0,11664.0,4378.5,17514.0,0,46,21.5,86,9,200,104.5,418
333,113.0,9156.0,2431.0,9724.0,3,43,13.5,54,21,200,68.5,274
334,165.0,8316.0,3621.0,14484.0,5,45,26.25,105,39,200,134.25,537
335,114.0,11340.0,4603.5,18414.0,2,47,24.5,98,21,200,122.5,490
