agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
1,34,200,0,36,42,2.3999999999999866,23.999999999999865,3948.0,0,1.0,18,36
2,34,9,0,0,1,0.0,0.0,42.0,1,-1.1,5,0
3,34,200,0,43,36,6.600000000000026,66.00000000000026,8352.0,0,1.0,20,43
0,35,200,0,40,1,4.800000000000044,48.00000000000044,9840.0,0,1.0,23,40
1,35,200,0,41,31,5.399999999999994,53.999999999999936,5850.0,0,1.0,30,41
2,35,21,1,2,1,0.0,5.000000000000001,143.0,0,-0.1999999999999999,11,3
3,35,200,0,40,31,4.799999999999993,47.99999999999992,3768.0,0,1.0,29,40
0,36,200,0,46,21,8.400000000000032,84.00000000000031,9750.0,0,1.0,25,46
1,36,21,1,2,2,0.0,5.000000000000003,137.0,0,-0.1999999999999999,13,3
2,36,200,0,45,18,7.800000000000011,78.00000000000011,7566.0,2,1.1,33,45
3,36,152,0,24,4,0.0,0.0,2298.0,3,-1.1,29,24
0,37,200,1,43,20,6.6000000000000405,72.0000000000004,8838.0,0,1.8,25,44
1,37,200,1,42,0,5.999999999999996,65.99999999999994,6462.0,0,1.0,26,43
2,37,200,0,41,21,5.400000000000009,54.00000000000009,5256.0,0,1.0,30,41
3,37,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
0,38,200,1,42,1,6.00000000000004,66.0000000000004,9666.0,0,1.8,13,43
1,38,200,1,38,1,3.599999999999994,41.999999999999936,6912.0,0,1.0,22,39
2,38,45,1,6,0,0.0,5.000000000000005,281.0,0,-0.1999999999999999,12,7
3,38,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,6,1
0,39,200,0,42,8,6.000000000000033,60.00000000000033,8466.0,0,1.0,28,42
1,39,200,0,40,2,4.799999999999992,47.99999999999992,5652.0,0,1.0,36,40
2,39,200,0,38,12,3.5999999999999948,35.99999999999994,3036.0,0,1.0,43,38
3,39,21,1,2,1,0.0,5.0,179.0,0,-1.0,10,3
0,40,200,0,45,0,7.800000000000027,78.00000000000027,10164.0,0,1.0,13,45
1,40,200,1,43,1,6.600000000000023,72.00000000000021,8976.0,0,1.0,19,44
2,40,33,0,4,0,0.0,0.0,180.0,4,-1.1,8,4
3,40,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,7,1
0,41,104,0,16,1,0.0,0.0,1458.0,1,-1.1,21,16
1,41,200,1,39,19,4.199999999999997,47.99999999999996,5322.0,0,1.0,30,40
2,41,9,0,0,1,0.0,0.0,42.0,1,-1.1,8,0
3,41,200,5,37,21,2.9999999999999862,59.99999999999986,4878.0,0,1.8,31,42
0,42,200,0,41,0,5.400000000000045,54.00000000000045,9444.0,1,1.8,20,41
1,42,200,1,41,0,5.400000000000026,60.000000000000256,8790.0,0,1.0,17,42
2,42,116,1,18,5,0.0,5.99999999999999,1206.0,0,-0.1999999999999999,18,19
3,42,9,0,0,1,0.0,0.0,42.0,1,-1.1,6,0
0,43,200,0,40,0,4.800000000000006,48.00000000000006,6666.0,0,1.0,26,40
1,43,200,0,37,41,2.999999999999988,29.99999999999988,3924.0,4,1.1,28,37
2,43,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
3,43,200,0,44,40,7.200000000000015,72.00000000000014,7200.0,0,1.0,25,44
0,44,200,1,48,1,9.600000000000035,102.00000000000036,13224.0,0,1.8,22,49
1,44,200,1,48,1,9.600000000000032,102.00000000000033,12372.0,0,1.0,26,49
2,44,62,2,9,1,0.0,11.999999999999991,585.0,0,-0.1999999999999999,19,11
3,44,9,2,0,0,0.0,11.0,77.0,0,-0.1999999999999999,6,2
0,45,200,0,39,0,4.200000000000001,42.00000000000001,6144.0,0,1.0,15,39
1,45,200,1,40,1,4.799999999999997,53.999999999999964,4866.0,0,1.0,26,41
2,45,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,3,1
3,45,15,0,2,0,0.6,5.999999999999999,81.0,1,-1.1,10,2
0,46,200,1,43,0,6.6000000000000245,72.00000000000024,9522.0,0,1.8,16,44
1,46,200,1,39,3,4.200000000000019,48.000000000000185,7512.0,0,1.0,19,40
2,46,33,1,4,0,0.0,5.000000000000003,179.0,0,-0.1999999999999999,15,5
3,46,33,0,4,3,0.0,0.0,246.0,2,-1.1,13,4
0,47,200,1,44,22,7.200000000000049,78.00000000000048,12144.0,0,1.8,26,45
1,47,200,1,41,2,5.400000000000021,60.0000000000002,7890.0,1,1.8,29,42
2,47,200,0,41,19,5.399999999999996,53.99999999999996,4554.0,0,1.0,31,41
3,47,32,0,4,4,0.0,0.0,252.0,2,-1.1,16,4
0,48,200,0,42,0,6.000000000000021,60.00000000000021,8172.0,0,1.0,11,42
1,48,200,2,41,1,5.400000000000011,66.00000000000011,7482.0,0,1.8,26,43
2,48,27,1,3,0,0.0,5.000000000000004,158.0,0,-0.1999999999999999,14,4
3,48,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,7,1
0,49,200,0,41,19,5.400000000000041,54.00000000000041,10530.0,0,1.0,26,41
1,49,200,1,37,3,3.0000000000000044,36.00000000000004,7530.0,0,1.0,33,38
2,49,200,0,41,16,5.4,54.0,4320.0,0,1.0,35,41
3,49,57,0,8,5,0.0,0.0,420.0,2,-1.1,24,8
0,50,74,0,11,0,0.0,0.0,1065.0,1,-1.1,28,11
1,50,56,2,8,3,0.0,11.999999999999996,552.0,0,-1.0,20,10
2,50,21,0,2,1,0.0,0.0,120.0,0,-1.0,10,2
3,50,81,0,12,5,0.0,0.0,618.0,1,-1.1,29,12
0,51,200,1,41,2,5.400000000000001,60.00000000000001,6114.0,1,1.8,20,42
1,51,200,1,38,0,3.599999999999986,41.99999999999986,5706.0,0,1.0,24,39
2,51,200,2,33,10,0.5999999999999922,17.999999999999922,2550.0,0,1.8,29,35
3,51,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
0,52,200,1,47,0,9.000000000000027,96.00000000000026,10140.0,0,1.8,19,48
1,52,38,1,5,2,0.0,5.999999999999998,315.0,0,-0.1999999999999999,13,6
2,52,39,1,5,1,0.0,5.000000000000004,272.0,0,-1.0,21,6
3,52,21,1,2,3,0.0,5.000000000000001,137.0,0,-0.1999999999999999,9,3
0,53,200,0,41,20,5.400000000000023,54.00000000000022,7704.0,0,1.0,25,41
1,53,200,0,44,0,7.200000000000015,72.00000000000014,8364.0,0,1.0,21,44
2,53,200,0,41,21,5.400000000000005,54.00000000000004,5466.0,1,1.8,26,41
3,53,15,2,1,1,0.0,11.0,134.0,0,-1.0,8,3
0,54,200,0,41,2,5.400000000000044,54.00000000000043,10536.0,0,1.0,29,41
1,54,200,0,37,43,3.0000000000000018,30.000000000000018,6918.0,0,1.0,27,37
2,54,21,1,2,1,0.0,5.000000000000003,113.0,0,-0.1999999999999999,12,3
3,54,200,1,47,35,9.000000000000021,96.0000000000002,8844.0,0,1.8,24,48
0,55,200,0,43,26,6.600000000000028,66.00000000000027,9024.0,0,1.0,20,43
1,55,200,0,45,0,7.800000000000006,78.00000000000006,8124.0,0,1.0,18,45
2,55,200,0,41,25,5.400000000000004,54.00000000000004,6078.0,2,1.1,20,41
3,55,9,2,0,1,0.0,11.0,77.0,0,-0.1999999999999999,6,2
0,56,200,0,40,0,4.800000000000012,48.00000000000012,6612.0,0,1.0,21,40
1,56,62,0,9,11,0.0,0.0,579.0,4,-1.1,15,9
2,56,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
3,56,200,2,37,12,2.9999999999999942,41.999999999999936,6660.0,0,1.8,24,39
0,57,62,0,9,0,0.0,0.0,549.0,1,-1.1,22,9
1,57,200,2,44,2,7.200000000000018,84.00000000000017,6684.0,0,1.8,31,46
2,57,27,0,3,1,0.0,0.0,141.0,1,-1.1,13,3
3,57,33,0,4,1,0.0,0.0,228.0,1,-1.1,13,4
0,58,200,1,46,3,8.400000000000038,90.00000000000037,12216.0,0,1.8,17,47
1,58,21,0,2,2,0.0,0.0,114.0,4,-1.1,14,2
2,58,21,0,2,1,0.0,0.0,96.0,4,-1.1,14,2
3,58,200,1,35,3,1.7999999999999865,23.999999999999865,4914.0,3,0.9,20,36
0,59,200,0,43,30,6.6000000000000245,66.00000000000024,8712.0,0,1.0,24,43
1,59,200,1,41,0,5.400000000000014,60.00000000000013,7566.0,1,1.8,23,42
2,59,200,0,41,31,5.400000000000014,54.000000000000135,7152.0,0,1.0,22,41
3,59,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,7,1
0,60,200,1,41,4,5.400000000000008,60.00000000000008,6672.0,0,1.8,23,42
1,60,200,1,35,0,1.7999999999999896,23.999999999999897,3720.0,0,1.0,29,36
2,60,200,0,35,9,1.79999999999999,17.9999999999999,2934.0,0,1.0,32,35
3,60,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,6,1
0,61,200,1,46,3,8.400000000000025,90.00000000000024,9978.0,0,1.8,27,47
1,61,200,3,37,27,2.9999999999999902,47.9999999999999,5022.0,4,1.1,34,40
2,61,27,1,3,0,0.0,5.000000000000003,128.0,0,-0.1999999999999999,11,4
3,61,200,0,39,30,4.199999999999992,41.99999999999992,3300.0,0,1.0,31,39
0,62,200,1,47,4,9.000000000000039,96.00000000000038,12672.0,0,1.8,16,48
1,62,21,0,2,0,0.0,0.0,96.0,4,-1.1,13,2
2,62,21,0,2,1,0.0,0.0,126.0,4,-1.1,11,2
3,62,200,1,37,1,2.9999999999999907,35.99999999999991,3630.0,1,1.8,24,38
0,63,200,0,44,2,7.200000000000035,72.00000000000034,8838.0,3,0.9,29,44
1,63,200,0,38,40,3.600000000000014,36.000000000000135,7704.0,4,1.1,25,38
2,63,39,0,5,0,0.0,0.0,303.0,0,-1.0,18,5
3,63,200,0,46,35,8.400000000000018,84.00000000000017,8544.0,2,1.5,39,46
0,64,200,0,48,0,9.600000000000012,96.00000000000011,8742.0,0,1.0,28,48
1,64,200,2,46,2,8.400000000000025,96.00000000000024,9936.0,0,1.0,26,48
2,64,164,1,26,4,0.0,5.99999999999997,1554.0,0,-0.1999999999999999,27,27
3,64,38,1,5,2,0.0,5.999999999999998,321.0,0,-0.1999999999999999,11,6
0,65,21,1,2,0,0.0,5.000000000000002,89.0,0,-0.1999999999999999,10,3
1,65,200,4,47,0,9.000000000000027,114.00000000000028,11298.0,0,1.8,20,51
2,65,200,5,38,0,3.5999999999999885,65.99999999999989,8388.0,0,1.0,27,43
3,65,9,1,0,1,0.0,5.000000000000001,59.0,0,-1.0,4,1
0,66,200,0,39,0,4.200000000000012,42.000000000000114,6558.0,3,0.9,27,39
1,66,26,0,3,4,0.0,0.0,219.0,4,-1.1,11,3
2,66,21,0,2,0,0.0,0.0,120.0,0,-1.0,11,2
