agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
3,baseline,54,32,0,4,1,0.0,0.0,414.0,0,-1.0,14,4
0,majoritarian,55,122,2,19,0,0.0,11.999999999999975,1149.0,0,-1.0,21,21
1,majoritarian,55,110,0,17,5,0.0,0.0,1635.0,1,-1.1,28,17
2,baseline,55,200,14,36,0,2.399999999999998,108.0,9960.0,0,1.0,28,50
3,baseline,55,9,0,0,0,0.0,0.0,36.0,1,-1.2,5,0
0,majoritarian,56,200,0,41,1,5.400000000000016,54.00000000000015,8616.0,0,1.0,27,41
1,majoritarian,56,80,1,12,0,0.0,5.999999999999971,996.0,0,-0.1999999999999999,21,13
2,baseline,56,200,0,44,1,7.200000000000021,72.0000000000002,8460.0,0,1.0,22,44
3,baseline,56,9,0,0,1,0.0,0.0,42.0,0,-1.0,4,0
0,majoritarian,57,21,0,2,1,0.0,0.0,132.0,1,-1.1,8,2
1,majoritarian,57,33,0,4,0,0.0,0.0,192.0,2,-1.1,15,4
2,baseline,57,200,10,36,0,2.4000000000000177,84.00000000000017,9000.0,1,2.0,30,46
3,baseline,57,159,1,25,0,0.0,5.000000000000011,2204.0,4,-1.2,24,26
0,majoritarian,58,15,0,1,0,0.0,0.0,81.0,1,-1.1,8,1
1,majoritarian,58,15,1,1,0,0.0,5.000000000000002,98.0,0,-1.0,7,2
2,baseline,58,200,1,51,1,11.400000000000038,120.00000000000036,13344.0,0,1.0,18,52
3,baseline,58,200,2,36,6,2.399999999999988,35.99999999999988,4890.0,1,2.0,21,38
0,majoritarian,59,200,3,42,9,6.000000000000025,78.00000000000024,8718.0,0,1.0,25,45
1,majoritarian,59,15,0,1,0,0.0,0.0,69.0,0,-1.0,11,1
2,baseline,59,200,0,47,1,9.000000000000027,90.00000000000026,11304.0,1,2.0,22,47
3,baseline,59,9,2,0,0,0.0,11.0,101.0,2,-1.2,7,2
0,majoritarian,60,200,0,38,1,3.599999999999988,35.99999999999987,5298.0,1,1.8,38,38
1,majoritarian,60,86,0,13,2,0.0,0.0,993.0,1,-1.1,23,13
2,baseline,60,200,0,35,2,1.7999999999999885,17.999999999999883,4356.0,0,1.0,38,35
3,baseline,60,33,0,4,2,0.0,0.0,240.0,0,-1.0,20,4
0,majoritarian,61,9,0,0,0,0.0,0.0,36.0,1,-1.1,5,0
1,majoritarian,61,50,0,7,2,0.0,0.0,585.0,3,-1.1,19,7
2,baseline,61,200,22,38,0,3.5999999999999863,167.99999999999986,18624.0,0,1.0,22,60
3,baseline,61,32,0,4,2,0.0,0.0,408.0,4,-1.2,14,4
0,majoritarian,62,15,0,1,2,0.0,0.0,87.0,0,-1.0,10,1
1,majoritarian,62,33,1,4,1,0.0,5.000000000000001,245.0,0,-0.1999999999999999,20,5
2,baseline,62,200,13,36,0,2.3999999999999897,101.99999999999989,8682.0,0,2.0,20,49
3,baseline,62,33,0,4,1,0.0,0.0,264.0,2,-1.2,18,4
0,majoritarian,63,27,0,3,1,0.0,0.0,141.0,4,-1.1,14,3
1,majoritarian,63,200,3,48,0,9.600000000000035,114.00000000000036,13848.0,0,1.0,16,51
2,baseline,63,26,0,3,0,0.0,0.0,207.0,0,-1.0,12,3
3,baseline,63,15,0,1,0,0.0,0.0,69.0,3,-1.2,10,1
0,majoritarian,64,57,1,8,1,0.0,5.000000000000001,413.0,0,-1.0,20,9
1,majoritarian,64,39,1,5,2,0.0,5.000000000000002,266.0,0,-0.1999999999999999,16,6
