agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,average,64,200,0,40,0,4.800000000000003,48.00000000000003,5346.0,0,1.0,26,40
1,average,64,9,0,0,1,0.0,0.0,42.0,3,-1.1,6,0
2,average,64,152,0,24,0,0.0,0.0,1710.0,0,-1.0,31,24
3,average,64,57,0,8,0,0.0,0.0,378.0,0,-1.0,19,8
0,average,65,200,0,45,0,7.800000000000017,78.00000000000016,7536.0,0,1.0,13,45
1,average,65,200,1,37,0,2.9999999999999867,35.999999999999865,4872.0,0,1.5,18,38
2,average,65,15,0,1,0,0.0,0.0,69.0,0,-1.0,7,1
3,average,65,15,0,1,0,0.0,0.0,81.0,1,-1.1,6,1
0,average,66,200,0,43,0,6.600000000000028,66.00000000000027,7824.0,1,1.8,19,43
1,average,66,15,0,1,1,0.0,0.0,81.0,3,-1.1,13,1
2,average,66,27,1,3,1,0.0,5.000000000000004,170.0,0,-1.0,13,4
3,average,66,194,0,31,2,0.0,0.0,3357.0,2,-1.1,30,31
0,average,67,200,0,43,1,6.60000000000001,66.0000000000001,7074.0,1,1.8,22,43
1,average,67,200,1,34,0,1.1999999999999882,17.999999999999883,3018.0,0,1.5,29,35
2,average,67,200,0,34,0,1.1999999999999873,11.999999999999872,3438.0,0,1.0,28,34
3,average,67,39,0,5,1,0.0,0.0,237.0,3,-1.1,22,5
0,average,68,200,0,43,0,6.6000000000000245,66.00000000000024,7602.0,0,1.0,12,43
1,average,68,15,0,1,0,0.0,0.0,75.0,1,-1.1,10,1
2,average,68,9,0,0,0,0.0,0.0,36.0,2,-1.1,6,0
3,average,68,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
0,average,69,200,0,42,1,6.000000000000008,60.00000000000008,6210.0,0,1.0,32,42
1,average,69,75,0,11,2,0.0,0.0,447.0,3,-1.1,20,11
2,average,69,123,0,19,1,0.0,0.0,903.0,3,-1.1,34,19
3,average,69,182,0,29,1,0.0,0.0,2373.0,1,-1.1,45,29
0,average,70,200,0,42,0,6.0000000000000195,60.00000000000019,7446.0,1,1.8,8,42
1,average,70,21,0,2,0,0.0,0.0,138.0,1,-1.1,10,2
2,average,70,21,0,2,0,0.0,0.0,96.0,2,-1.1,11,2
3,average,70,21,0,2,0,0.0,0.0,96.0,2,-1.1,17,2
0,average,71,200,0,45,0,7.800000000000031,78.0000000000003,9378.0,0,1.0,36,45
1,average,71,200,0,37,2,2.9999999999999885,29.999999999999883,3648.0,0,1.0,52,37
2,average,71,200,1,38,0,3.5999999999999894,41.99999999999989,4308.0,0,1.0,49,39
3,average,71,200,1,33,3,0.5999999999999904,11.999999999999904,3378.0,0,1.5,53,34
0,average,72,200,0,46,0,8.400000000000025,84.00000000000024,9564.0,0,1.0,36,46
1,average,72,200,0,34,2,1.1999999999999955,11.999999999999954,2100.0,0,1.0,44,34
2,average,72,87,0,13,0,0.0,0.0,441.0,3,-1.1,35,13
3,average,72,122,0,19,0,0.0,0.0,1551.0,4,-1.1,47,19
0,average,73,200,0,44,0,7.20000000000002,72.0000000000002,7812.0,0,1.0,21,44
1,average,73,21,0,2,1,0.0,0.0,108.0,2,-1.1,13,2
2,average,73,200,0,35,1,1.7999999999999887,17.999999999999886,3594.0,4,1.6333333333333333,30,35
3,average,73,200,0,34,1,1.1999999999999869,11.999999999999869,3390.0,4,0.9,31,34
0,average,74,200,0,44,0,7.200000000000012,72.00000000000011,7806.0,1,1.8,24,44
1,average,74,200,0,37,0,2.999999999999989,29.999999999999886,4404.0,0,1.0,21,37
2,average,74,75,1,11,0,0.0,5.00000000000001,530.0,0,-0.5,17,12
3,average,74,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
0,average,75,200,0,40,1,4.80000000000001,48.00000000000009,5952.0,0,1.0,35,40
1,average,75,200,1,32,3,0.0,5.999999999999975,1788.0,0,0.5,43,33
2,average,75,69,0,10,0,0.0,0.0,384.0,2,-1.1,24,10
3,average,75,152,0,24,0,0.0,0.0,1626.0,3,-1.1,45,24
0,average,76,200,0,42,0,6.000000000000017,60.00000000000016,6642.0,0,1.0,23,42
1,average,76,62,1,9,2,0.0,5.999999999999994,537.0,0,-0.5,19,10
2,average,76,15,1,1,1,0.0,5.000000000000002,74.0,0,-0.5,11,2
3,average,76,134,0,21,1,0.0,0.0,2223.0,1,-1.1,33,21
0,average,77,200,0,41,0,5.400000000000008,54.00000000000008,6948.0,0,1.0,27,41
1,average,77,200,0,36,2,2.3999999999999875,23.999999999999872,4044.0,0,1.0,49,36
2,average,77,200,0,36,0,2.3999999999999937,23.999999999999936,2352.0,1,1.8,42,36
3,average,77,200,0,34,0,1.1999999999999913,11.999999999999911,2658.0,0,1.0,44,34
0,average,78,200,0,41,0,5.4,54.0,5928.0,0,1.0,23,41
1,average,78,69,0,10,0,0.0,0.0,468.0,3,-1.1,18,10
2,average,78,200,1,35,0,1.7999999999999885,23.999999999999883,4206.0,0,1.0,30,36
3,average,78,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.5,7,1
0,average,79,200,0,43,0,6.600000000000012,66.00000000000011,7050.0,0,1.0,16,43
1,average,79,200,0,36,0,2.3999999999999893,23.99999999999989,3366.0,0,1.0,28,36
2,average,79,200,0,35,0,1.7999999999999885,17.999999999999883,2934.0,0,1.0,28,35
3,average,79,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,average,80,200,0,43,0,6.600000000000021,66.0000000000002,7218.0,0,1.0,19,43
1,average,80,200,0,37,0,2.999999999999987,29.99999999999987,4122.0,0,1.0,18,37
2,average,80,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
3,average,80,21,1,2,0,0.0,5.000000000000003,101.0,0,-0.5,14,3
0,average,81,200,0,42,0,6.000000000000017,60.00000000000016,7182.0,1,1.8,19,42
1,average,81,27,0,3,0,0.0,0.0,111.0,3,-1.1,15,3
2,average,81,21,0,2,0,0.0,0.0,96.0,3,-1.1,13,2
3,average,81,57,0,8,0,0.0,0.0,450.0,4,-1.1,20,8
0,average,82,200,0,44,0,7.200000000000022,72.00000000000021,8562.0,1,1.8,17,44
