,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
136,35,0,0.2445842068483578,6.0412299091544375,1.2592592592592593,0.9248078266946187,10.715583508036334,360.937106918239,0.20950384346610762,7.786862334032145,1431
137,35,1,0.2190366972477064,5.533256880733945,0.9552752293577982,0.619954128440367,7.513761467889908,283.02522935779814,0.15711009174311927,7.746559633027523,872
138,35,2,0.23347701149425287,5.716954022988506,1.0158045977011494,0.7302442528735631,8.703304597701148,303.9375,0.19856321839080462,7.766522988505747,1392
139,35,3,0.17193675889328064,5.857707509881423,0.16106719367588934,0.8146245059288535,9.177865612648217,319.80830039525694,0.20286561264822137,7.724308300395257,1012
140,36,0,0.2445842068483578,6.1921733053808525,1.2844164919636618,0.9153738644304676,10.621243885394822,371.50384346610764,0.20950384346610762,8.248777078965759,1431
141,36,1,0.21674311926605505,5.662844036697248,0.9770642201834863,0.5977064220183487,7.277522935779817,290.2477064220183,0.17098623853211012,8.162844036697248,872
142,36,2,0.24281609195402298,5.867816091954023,1.0373563218390804,0.7207614942528735,8.664511494252872,312.51580459770116,0.22787356321839083,8.173132183908047,1392
143,36,3,0.17588932806324112,6.0,0.16699604743083005,0.7999999999999997,9.055335968379444,328.8339920948617,0.19476284584980239,8.153162055335969,1012
144,37,0,0.21733053808525507,6.352900069881202,1.3214535290006988,0.9118099231306773,10.422082459818302,381.8420684835779,0.21607267645003497,8.614954577218729,1431
145,37,1,0.21330275229357798,5.831422018348624,1.0057339449541285,0.5988532110091743,7.268348623853211,297.36467889908255,0.21341743119266057,8.506880733944953,872
146,37,2,0.2579022988505747,6.031609195402299,1.0610632183908046,0.719037356321839,8.737787356321837,321.1458333333333,0.2387931034482759,8.487787356321839,1392
147,37,3,0.18181818181818182,6.1393280632411065,0.18181818181818182,0.7835968379446637,8.926877470355727,337.6837944664032,0.20207509881422925,8.495059288537549,1012
148,38,0,0.21523410202655485,6.513626834381552,1.3515024458420686,0.9082459818308869,10.373864430468197,392.0817610062893,0.16512928022361986,8.979035639412999,1431
149,38,1,0.19610091743119265,5.985091743119266,1.0378440366972477,0.5910550458715598,7.087155963302752,304.341743119266,0.15458715596330277,8.900229357798166,872
150,38,2,0.22126436781609196,6.209051724137931,1.0955459770114941,0.7255028735632183,8.582614942528734,329.67241379310343,0.23053160919540233,8.847701149425287,1392
151,38,3,0.1590909090909091,6.299407114624506,0.18873517786561264,0.7796442687747033,8.750988142292487,346.3399209486166,0.16096837944664033,8.857707509881424,1012
152,39,0,0.22667638483965014,6.706268221574344,1.3899416909620992,0.9320699708454805,10.658163265306117,404.6064139941691,0.10087463556851313,9.51530612244898,1372
153,39,1,0.15676959619952494,6.160332541567696,1.0641330166270784,0.61187648456057,7.03919239904988,309.8254156769596,-0.025415676959619958,9.420427553444181,842
154,39,2,0.18494152046783627,6.39766081871345,1.0964912280701755,0.7464912280701753,8.557748538011694,337.562134502924,0.13428362573099417,9.353801169590643,1368
155,39,3,0.15532994923857868,6.459898477157361,0.1918781725888325,0.7864974619289336,8.787817258883244,355.4071065989848,0.06121827411167513,9.331979695431473,985
156,40,0,0.23431294678316125,6.993645750595711,1.4868943606036538,0.9962668784749794,11.368546465448762,428.9563145353455,0.18443208895949167,10.129467831612391,1259
157,40,1,0.19859154929577466,6.443661971830986,1.152112676056338,0.6661971830985915,7.853521126760562,330.4985915492958,0.09464788732394366,10.005633802816902,710
158,40,2,0.2006344171292625,6.62172878667724,1.1427438540840602,0.7731165741475018,8.934972244250593,354.101506740682,0.17343378271213325,9.976209357652657,1261
159,40,3,0.15209988649262202,6.761634506242906,0.21452894438138478,0.856980703745743,9.482406356413163,378.45629965947785,0.18649262202043135,9.885357548240636,881
160,41,0,0.221604447974583,7.138204924543288,1.5107227958697378,0.9830023828435258,11.159650516282756,440.05877680698967,0.18451151707704527,5.0,1259
161,41,1,0.21549295774647886,6.55774647887324,1.1816901408450704,0.6346478873239436,7.6394366197183095,338.00281690140844,0.15380281690140846,5.0,710
162,41,2,0.2521808088818398,6.7430610626486915,1.1586042823156226,0.7459159397303725,8.972244250594764,363.03092783505156,0.21237113402061858,5.0,1261
163,41,3,0.1623155505107832,6.8830874006810445,0.2213393870601589,0.829852440408626,9.272417707150959,387.70147559591373,0.1812712826333712,5.0,881
164,42,0,0.22319301032565528,7.27561556791104,1.5337569499602859,0.9654487688641772,10.993645750595704,451.0,0.19285146942017475,5.873709293089754,1259
165,42,1,0.23098591549295774,6.707042253521127,1.2056338028169014,0.624225352112676,7.628169014084506,345.50422535211266,0.18619718309859157,5.780281690140845,710
166,42,2,0.24266455194290246,6.905630452022205,1.175257731958763,0.7434575733544804,8.890563045202219,371.8739095955591,0.23552735923869944,5.816019032513878,1261
167,42,3,0.15777525539160045,7.01589103291714,0.22587968217934165,0.8095346197502833,9.041997729852435,396.74347332576616,0.18535754824063566,5.817253121452895,881
168,43,0,0.20889594916600476,7.440031771247021,1.5607625099285147,0.9640984908657657,10.894360603653684,461.8038125496426,0.21358220810166803,6.390786338363781,1259
169,43,1,0.2084507042253521,6.849295774647888,1.2408450704225351,0.6095774647887323,7.346478873239437,352.75774647887323,0.18309859154929578,6.238028169014084,710
170,43,2,0.26090404440919907,7.065820777160983,1.196669310071372,0.7395717684377476,8.96114195083267,380.77319587628864,0.24266455194290246,6.288659793814433,1261
171,43,3,0.16458569807037457,7.150964812712826,0.23609534619750283,0.7905788876276952,8.8933030646992,405.5822928490352,0.18388195232690124,6.290578887627696,881
172,44,0,0.18665607625099284,7.60285941223193,1.5925337569499602,0.9617950754567111,10.737887212073067,472.4368546465449,0.14114376489277206,6.891977760127085,1259
173,44,1,0.2267605633802817,6.983098591549296,1.2746478873239437,0.5898591549295775,7.259154929577464,359.89014084507045,0.1283098591549296,6.691549295774648,710
174,44,2,0.20618556701030927,7.258524980174465,1.2212529738302935,0.7551942902458364,8.78905630452022,389.5099127676447,0.21490880253766853,6.7858842188739095,1261
175,44,3,0.170261066969353,7.274687854710556,0.24404086265607264,0.7648127128263332,8.66969353007945,414.2383654937571,0.10839954597048808,6.753688989784336,881
176,45,0,0.2235294117647059,7.815966386554622,1.611764705882353,0.9973949579831924,11.300840336134444,486.0621848739496,0.08798319327731093,7.536974789915966,1190
177,45,1,0.19287833827893175,7.163204747774481,1.3026706231454006,0.6146884272997032,7.265578635014835,364.0949554896142,-0.03011869436201781,7.304154302670623,674
178,45,2,0.1853061224489796,7.448979591836735,1.2391836734693877,0.7748571428571426,8.851428571428569,397.76897959183674,0.16783673469387758,7.400816326530612,1225
179,45,3,0.15272727272727274,7.499393939393939,0.25212121212121213,0.8099393939393933,9.010909090909085,423.7818181818182,0.07236363636363637,7.3539393939393936,825
180,46,0,0.24134790528233152,8.098360655737705,1.7058287795992715,1.0591074681238606,12.039162112932594,513.2586520947177,0.1877049180327869,8.183060109289617,1098
181,46,1,0.21390374331550802,7.490196078431373,1.4688057040998217,0.6941176470588234,8.224598930481282,387.85561497326205,0.14224598930481286,8.026737967914439,561
182,46,2,0.19672131147540983,7.646246764452114,1.264020707506471,0.7878343399482309,9.058671268334768,412.8757549611734,0.1735979292493529,8.074201898188093,1159
183,46,3,0.19054054054054054,7.82027027027027,0.2756756756756757,0.8921621621621615,10.064864864864857,449.55405405405406,0.22094594594594594,8.028378378378378,740
184,47,0,0.24134790528233152,8.242258652094717,1.7304189435336976,1.0454462659380683,11.902550091074671,525.1065573770492,0.19653916211293262,8.728597449908925,1098
185,47,1,0.27807486631016043,7.611408199643494,1.4919786096256684,0.6668449197860962,8.336898395721924,396.0427807486631,0.17308377896613192,8.499108734402853,561
186,47,2,0.2459016393442623,7.764452113891285,1.2821397756686799,0.758757549611734,9.062985332182913,421.9025021570319,0.21622088006902504,8.563416738567732,1159
187,47,3,0.15405405405405406,7.9837837837837835,0.28378378378378377,0.8902702702702696,9.82702702702702,459.37297297297295,0.2087837837837838,8.598648648648648,740
188,48,0,0.23406193078324225,8.407103825136613,1.7559198542805101,1.0443533697632048,11.847905282331501,536.8779599271403,0.22094717668488162,9.136612021857923,1098
