episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
158,68.0,3420.0,925.5,3702.0,2,37,10.75,43,15,200,61.25,245
159,36.0,86.0,63.0,252.0,0,2,1.25,5,9,15,10.5,42
160,59.0,6174.0,2894.0,11576.0,1,42,20.5,82,9,200,109.0,436
161,36.0,7296.0,2957.25,11829.0,0,42,27.0,108,9,200,150.75,603
162,186.0,3996.0,2329.5,9318.0,4,41,27.0,108,33,200,149.25,597
163,36.0,11094.0,4420.5,17682.0,0,48,29.5,118,9,200,152.25,609
164,53.0,1215.0,442.75,1771.0,1,15,6.0,24,9,98,40.25,161
165,153.0,4722.0,3026.25,12105.0,3,39,28.25,113,27,200,156.75,627
166,41.0,5604.0,1474.0,5896.0,1,42,12.0,48,9,200,62.75,251
167,176.0,10218.0,4686.5,18746.0,4,46,31.0,124,27,200,156.75,627
168,131.0,5832.0,2057.5,8230.0,3,44,19.5,78,21,200,104.5,418
169,57.0,9942.0,3247.25,12989.0,1,45,21.0,84,15,200,107.5,430
170,74.0,9960.0,3636.25,14545.0,2,46,25.0,100,15,200,127.0,508
171,174.0,7092.0,3532.5,14130.0,4,43,29.5,118,33,200,158.25,633
172,137.0,5328.0,1489.75,5959.0,3,40,13.5,54,21,200,73.0,292
173,131.0,4596.0,1247.5,4990.0,2,37,11.25,45,21,200,65.75,263
174,59.0,2880.0,1069.5,4278.0,1,37,15.5,62,9,200,88.25,353
175,65.0,5766.0,2366.5,9466.0,1,41,21.0,84,9,200,110.5,442
176,248.0,9246.0,3266.5,13066.0,6,44,23.0,92,39,200,119.5,478
177,77.0,4278.0,1261.75,5047.0,1,38,14.25,57,9,200,82.25,329
178,180.0,4878.0,1867.5,7470.0,4,36,20.5,82,33,200,122.5,490
179,77.0,5232.0,1591.25,6365.0,1,41,16.5,66,9,200,92.75,371
180,128.0,5928.0,3056.75,12227.0,2,40,25.25,101,15,200,137.25,549
181,141.0,5562.0,1530.5,6122.0,3,39,12.75,51,27,200,73.25,293
182,41.0,7068.0,1840.0,7360.0,1,41,12.25,49,9,200,65.75,263
183,71.0,5268.0,1448.25,5793.0,1,40,13.25,53,9,200,71.75,287
184,83.0,2118.0,668.0,2672.0,2,33,11.5,46,9,200,73.25,293
185,140.0,5382.0,3051.5,12206.0,4,40,28.25,113,27,200,156.75,627
186,86.0,7962.0,3827.0,15308.0,2,42,29.0,116,15,200,153.75,615
187,65.0,9384.0,4237.25,16949.0,1,46,30.5,122,9,200,152.25,609
188,129.0,4314.0,1370.0,5480.0,3,37,15.0,60,27,200,85.0,340
189,257.0,4290.0,1388.5,5554.0,5,38,16.5,66,33,200,95.75,383
190,179.0,4404.0,1991.0,7964.0,5,40,23.5,94,33,200,129.75,519
191,153.0,9270.0,3766.25,15065.0,3,47,23.75,95,27,200,113.5,454
192,63.0,243.0,122.5,490.0,1,5,2.5,10,9,39,21.0,84
193,206.0,7734.0,2612.0,10448.0,6,41,21.75,87,39,200,121.0,484
194,113.0,13668.0,5096.75,20387.0,3,51,30.5,122,21,200,155.25,621
195,65.0,6510.0,1719.0,6876.0,1,43,12.75,51,9,200,64.25,257
196,71.0,2700.0,834.25,3337.0,1,34,11.75,47,9,200,73.25,293
197,42.0,9270.0,3018.75,12075.0,0,47,22.25,89,9,200,115.0,460
198,47.0,4290.0,1159.5,4638.0,1,36,11.0,44,9,200,64.25,257
199,77.0,1038.0,403.25,1613.0,1,14,6.25,25,9,92,44.75,179
200,101.0,444.0,241.0,964.0,2,8,5.25,21,9,57,36.0,144
201,77.0,5322.0,1557.25,6229.0,1,39,14.5,58,9,200,82.25,329
202,71.0,209.0,137.0,548.0,1,5,3.25,13,9,33,21.0,84
203,200.0,1200.0,571.25,2285.0,4,18,9.75,39,27,116,65.5,262
204,102.0,4104.0,1139.0,4556.0,2,36,11.75,47,21,200,70.25,281
205,42.0,2292.0,1469.0,5876.0,0,33,22.25,89,9,200,136.0,544
206,200.0,13692.0,4503.25,18013.0,4,50,24.25,97,27,200,115.0,460
207,101.0,7302.0,2155.25,8621.0,3,38,14.75,59,21,200,86.5,346
208,36.0,7992.0,2885.75,11543.0,0,44,20.25,81,9,200,104.5,418
