episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
205,36.0,13530.0,6456.75,25827.0,0,74,39.0,156
206,161.0,13584.0,6471.5,25886.0,5,72,40.5,162
207,36.0,13260.0,8412.0,33648.0,0,74,54.75,219
208,47.0,13974.0,7523.75,30095.0,1,76,50.5,202
209,41.0,15102.0,4180.25,16721.0,1,72,23.0,92
210,68.0,990.0,402.75,1611.0,1,12,6.5,26
211,41.0,10590.0,6928.25,27713.0,1,72,53.75,215
212,552.0,11382.0,5639.25,22557.0,10,71,43.25,173
213,36.0,3687.0,1022.75,4091.0,0,21,6.75,27
214,36.0,7860.0,2206.5,8826.0,0,44,14.0,56
215,36.0,405.0,196.5,786.0,0,6,2.75,11
216,41.0,1794.0,576.25,2305.0,1,14,6.0,24
217,59.0,7998.0,5491.25,21965.0,1,71,53.0,212
218,318.0,11178.0,7500.0,30000.0,6,72,55.5,222
219,95.0,6186.0,2929.75,11719.0,2,68,37.0,148
220,255.0,20472.0,12032.25,48129.0,5,80,57.75,231
221,102.0,1251.0,556.25,2225.0,2,17,9.75,39
222,36.0,17046.0,4306.5,17226.0,0,76,19.5,78
223,65.0,3339.0,938.5,3754.0,1,31,9.5,38
224,41.0,17778.0,12335.75,49343.0,1,78,58.25,233
225,275.0,13266.0,6896.0,27584.0,5,76,43.75,175
226,77.0,1566.0,461.0,1844.0,1,16,5.0,20
227,63.0,3936.0,1498.75,5995.0,1,41,19.75,79
228,69.0,10380.0,2762.0,11048.0,1,73,21.75,87
229,249.0,1344.0,589.0,2356.0,5,12,8.25,33
230,42.0,9348.0,2724.0,10896.0,0,72,24.0,96
231,65.0,561.0,276.5,1106.0,1,9,4.0,16
232,135.0,18018.0,10295.25,41181.0,3,79,56.5,226
233,86.0,903.0,417.5,1670.0,1,15,7.0,28
234,143.0,16026.0,9356.75,37427.0,3,81,56.75,227
235,42.0,19362.0,11223.0,44892.0,0,79,56.0,224
236,216.0,15792.0,7440.75,29763.0,4,75,49.75,199
237,68.0,10233.0,2777.0,11108.0,2,41,13.75,55
238,155.0,20904.0,11297.75,45191.0,5,80,50.75,203
239,114.0,21798.0,11787.0,47148.0,2,80,50.5,202
240,185.0,1320.0,520.75,2083.0,5,16,8.25,33
241,77.0,7494.0,1973.75,7895.0,1,69,19.0,76
242,98.0,372.0,230.75,923.0,2,7,4.25,17
243,342.0,20586.0,12750.0,51000.0,10,80,59.0,236
244,75.0,8853.0,2552.0,10208.0,1,51,19.0,76
245,152.0,630.0,280.75,1123.0,3,12,5.75,23
246,687.0,17640.0,8930.25,35721.0,13,78,47.25,189
247,69.0,2799.0,772.5,3090.0,1,17,5.5,22
248,494.0,4185.0,1547.0,6188.0,12,25,16.5,66
249,57.0,15930.0,7767.5,31070.0,1,73,38.5,154
250,660.0,8232.0,3661.5,14646.0,14,58,35.0,140
251,137.0,2742.0,859.0,3436.0,3,28,10.5,42
252,186.0,7101.0,2788.25,11153.0,4,49,24.5,98
253,36.0,2181.0,761.0,3044.0,0,15,7.5,30
254,68.0,10656.0,5089.25,20357.0,2,72,39.25,157
255,57.0,1877.0,514.0,2056.0,1,29,8.0,32
256,53.0,6057.0,1579.75,6319.0,1,54,15.0,60
257,42.0,5463.0,1585.25,6341.0,0,33,12.25,49
258,75.0,11988.0,3082.75,12331.0,1,71,19.5,78
259,69.0,1305.0,462.5,1850.0,1,19,7.25,29
260,131.0,1359.0,575.5,2302.0,3,13,8.25,33
261,71.0,8535.0,2205.25,8821.0,1,63,17.5,70
262,36.0,9300.0,4374.5,17498.0,0,70,38.0,152
263,158.0,8829.0,3237.5,12950.0,4,43,21.0,84
264,41.0,17676.0,4607.5,18430.0,1,77,23.75,95
265,164.0,1122.0,681.5,2726.0,4,17,11.75,47
266,257.0,8778.0,6131.75,24527.0,5,70,53.5,214
267,86.0,453.0,221.5,886.0,2,7,4.5,18
268,183.0,20466.0,7863.75,31455.0,3,78,43.0,172
269,41.0,1911.0,767.75,3071.0,1,17,8.75,35
270,36.0,1389.0,531.5,2126.0,0,13,7.0,28
